#T r95_d30000_t3_64_128_256_512_1024_1280_1518
size: 64B, rate: 95%, link: 25000 Mbps, mpps: 35342262, dur: 30 sec, total: 1060267860, LossLimit: 10603 (0.001%)
TS(sec),TX(pps),RX(pps),totalTX(p),totalRX(p),Trial
1690381755,2869258,2894098,28049664,28078181,1
1690381756,2865150,2865128,30914814,30943309,1
1690381757,2865410,2839906,33780224,33783215,1
1690381758,2864868,2864856,36645092,36648071,1
1690381759,2844600,2861604,39489692,39509675,1
1690381760,2844708,2836137,42334400,42345812,1
1690381761,2844735,2865127,45179135,45210939,1
1690381762,2868586,2865403,48047721,48076342,1
1690381763,2865111,2863977,50912832,50940319,1
1690381764,2865303,2864666,53778135,53804985,1
1690381765,2864722,2866486,56642857,56671471,1
1690381766,2865047,2839288,59507904,59510759,1
1690381767,2864850,2864833,62372754,62375592,1
1690381768,2844583,2862314,65217337,65237906,1
1690381769,2844720,2836432,68062057,68074338,1
1690381770,2844826,2836238,70906883,70910576,1
1690381771,2869117,2893928,73776000,73804504,1
1690381772,2865280,2863526,76641280,76668030,1
1690381773,2865192,2866990,79506472,79535020,1
1690381774,2864899,2839205,82371371,82374225,1
1690381775,2865085,2865084,85236456,85239309,1
1690381776,72444,69591,85308900,85308900,1
1690381777,0,0,85308900,85308900,1
1690381778,0,0,85308900,85308900,1
1690381779,0,0,85308900,85308900,1
1690381780,0,0,85308900,85308900,1
1690381781,0,0,0,0,2
1690381782,1588470,1625231,1588470,1625231,2
1690381783,2987313,2953665,4575783,4578896,2
1690381784,2987415,3003792,7563198,7582688,2
1690381785,2970306,2961396,10533504,10544084,2
1690381786,2844726,2865427,13378230,13409511,2
1690381787,2867583,2839277,16245813,16248788,2
1690381788,2864971,2864972,19110784,19113760,2
1690381789,2844847,2862240,21955631,21976000,2
1690381790,2844597,2836493,24800228,24812493,2
1690381791,2844706,2836649,27644934,27649142,2
1690381792,2869474,2893887,30514408,30543029,2
1690381793,2865368,2839595,33379776,33382624,2
1690381794,2865281,2865283,36245057,36247907,2
1690381795,2844599,2861983,39089656,39109890,2
1690381796,2844721,2836347,41934377,41946237,2
1690381797,2844823,2836378,44779200,44782615,2
1690381798,2844608,2844173,47623808,47626788,2
1690381799,2844728,2857621,50468536,50484409,2
1690381800,2844850,2839826,53313386,53324235,2
1690381801,2844593,2864826,56157979,56189061,2
1690381802,2844709,2816612,59002688,59005673,2
1690381803,2844733,2856660,61847421,61862333,2
1690381804,2844716,2836613,64692137,64698946,2
1690381805,2872076,2893881,67564213,67592827,2
1690381806,2865087,2865017,70429300,70457844,2
1690381807,2864652,2838975,73293952,73296819,2
1690381808,2865152,2865126,76159104,76161945,2
1690381809,2844593,2862118,79003697,79024063,2
1690381810,2844718,2836133,81848415,81860196,2
1690381811,2844705,2836644,84693120,84696840,2
1690381812,615780,612060,85308900,85308900,2
1690381813,0,0,85308900,85308900,2
1690381814,0,0,85308900,85308900,2
1690381815,0,0,85308900,85308900,2
1690381816,0,0,85308900,85308900,2
1690381817,0,0,85308900,85308900,0
1690381818,0,0,85308900,85308900,0
1690381819,0,0,85308900,85308900,0
1690381820,0,0,85308900,85308900,0
1690381821,0,0,85308900,85308900,0
1690381822,0,0,85308900,85308900,0
1690381823,0,0,85308900,85308900,0
1690381824,0,0,85308900,85308900,0
1690381825,0,0,85308900,85308900,0
1690381826,0,0,85308900,85308900,0
1690381827,0,0,85308900,85308900,0
1690381828,0,0,85308900,85308900,0
1690381829,0,0,85308900,85308900,0
1690381830,0,0,85308900,85308900,0
1690381831,0,0,85308900,85308900,0
1690381832,0,0,85308900,85308900,0
1690381833,0,0,85308900,85308900,0
1690381834,0,0,85308900,85308900,0
1690381835,0,0,85308900,85308900,0
1690381836,0,0,85308900,85308900,0
1690381837,0,0,85308900,85308900,0
1690381838,0,0,85308900,85308900,0
1690381839,0,0,85308900,85308900,0
1690381840,0,0,85308900,85308900,0
1690381841,0,0,85308900,85308900,0
1690381842,0,0,85308900,85308900,0
1690381843,0,0,85308900,85308900,0
1690381844,0,0,85308900,85308900,0
1690381845,0,0,85308900,85308900,0
1690381846,0,0,85308900,85308900,0
size: 1280B, rate: 95%, link: 25000 Mbps, mpps: 2283654, dur: 30 sec, total: 68509620, LossLimit: 685 (0.001%)
TS(sec),TX(pps),RX(pps),totalTX(p),totalRX(p),Trial
1690381847,0,0,0,0,0
1690381848,700292,723618,700292,723618,0
1690381849,2416283,2415850,3116575,3139468,0
1690381850,2416323,2417576,5532898,5557044,0
1690381851,2416371,2414229,7949269,7971273,0
1690381852,2317016,2318002,10266285,10289275,0
1690381853,2301948,2281239,12568233,12570514,0
1690381854,2301945,2301943,14870178,14872457,0
1690381855,2285319,2299287,17155497,17171744,0
1690381856,2285432,2278816,19440929,19450560,0
1690381857,2285428,2278784,21726357,21729344,0
1690381858,2304811,2324718,24031168,24054062,0
1690381859,2301760,2301711,26332928,26355773,0
1690381860,2301461,2301456,28634389,28657229,0
1690381861,2301700,2281252,30936089,30938481,0
1690381862,2302072,2302079,33238161,33240560,0
1690381863,2285336,2299646,35523497,35540206,0
1690381864,2285426,2278819,37808923,37819025,0
1690381865,2285413,2278448,40094336,40097473,0
1690381866,2305106,2324957,42399442,42422430,0
1690381867,2301383,2301385,44700825,44723815,0
1690381868,2301671,2280984,47002496,47004799,0
1690381869,2301952,2301950,49304448,49306749,0
1690381870,2285336,2299268,51589784,51606017,0
1690381871,2285416,2278933,53875200,53884950,0
1690381872,2285546,2278899,56160746,56163849,0
1690381873,2304982,2324873,58465728,58488722,0
1690381874,2301824,2301821,60767552,60790543,0
1690381875,2301523,2301499,63069075,63092042,0
1690381876,2301793,2301508,65370868,65393550,0
1690381877,2301865,2301454,67672733,67695004,0
1690381878,836887,814616,68509620,68509620,0
1690381879,0,0,68509620,68509620,0
1690381880,0,0,68509620,68509620,0
1690381881,0,0,68509620,68509620,0
1690381882,0,0,68509620,68509620,0
1690381883,0,0,0,0,1
1690381884,507300,531434,507300,531434,1
1690381885,2416461,2416472,2923761,2947906,1
1690381886,2416182,2416110,5339943,5364016,1
1690381887,2416110,2415850,7756053,7779866,1
1690381888,2325783,2324533,10081836,10104399,1
1690381889,2301947,2301450,12383783,12405849,1
1690381890,2302068,2302994,14685851,14708843,1
1690381891,2301503,2280794,16987354,16989637,1
1690381892,2301831,2301837,19289185,19291474,1
1690381893,2285330,2299523,21574515,21590997,1
1690381894,2285431,2271284,23859946,23862281,1
1690381895,2285427,2309202,26145373,26171483,1
1690381896,2285531,2261809,28430904,28433292,1
1690381897,2285320,2296172,30716224,30729464,1
1690381898,2285437,2278891,33001661,33008355,1
1690381899,2285427,2302076,35287088,35310431,1
1690381900,2285432,2278913,37572520,37589344,1
1690381901,2285528,2278899,39858048,39868243,1
1690381902,2285314,2278577,42143362,42146820,1
1690381903,2305342,2324880,44448704,44471700,1
1690381904,2301952,2281361,46750656,46753061,1
1690381905,2301918,2301907,49052574,49054968,1
1690381906,2285329,2299315,51337903,51354283,1
1690381907,2285431,2278701,53623334,53632984,1
1690381908,2285428,2278795,55908762,55911779,1
1690381909,2305108,2325073,58213870,58236852,1
1690381910,2301931,2301944,60515801,60538796,1
1690381911,2301712,2299794,62817513,62838590,1
1690381912,2301573,2303481,65119086,65142071,1
1690381913,2301770,2301712,67420856,67443783,1
1690381914,1088764,1065837,68509620,68509620,1
1690381915,0,0,68509620,68509620,1
1690381916,0,0,68509620,68509620,1
1690381917,0,0,68509620,68509620,1
1690381918,0,0,68509620,68509620,1
1690381919,0,0,0,0,2
1690381920,200073,217096,200073,217096,2
1690381921,2398929,2392341,2599002,2609437,2
1690381922,2399029,2392169,4998031,5001606,2
1690381923,2419794,2440455,7417825,7442061,2
1690381924,2341983,2340787,9759808,9782848,2
1690381925,2301876,2301517,12061684,12084365,2
1690381926,2301576,2301451,14363260,14385816,2
1690381927,2301828,2301456,16665088,16687272,2
1690381928,2301813,2301456,18966901,18988728,2
1690381929,2301944,2303112,21268845,21291840,2
1690381930,2301715,2299792,23570560,23591632,2
1690381932,2301888,2303743,25872448,25895375,2
1690381933,2301568,2280935,28174016,28176310,2
1690381934,2301568,2301579,30475584,30477889,2
1690381935,2285343,2299530,32760927,32777419,2
1690381936,2285426,2278715,35046353,35056134,2
1690381937,2285532,2278796,37331885,37334930,2
1690381938,2304915,2324858,39636800,39659788,2
1690381939,2301952,2299961,41938752,41959749,2
1690381940,2301760,2303676,44240512,44263425,2
1690381941,2301873,2281246,46542385,46544671,2
1690381942,2301691,2301694,48844076,48846365,2
1690381943,2285331,2299182,51129407,51145547,2
1690381944,2285435,2278785,53414842,53424332,2
1690381945,2285510,2278905,55700352,55703237,2
1690381946,2304406,2324510,58004758,58027747,2
1690381947,2301658,2301660,60306416,60329407,2
1690381948,2301448,2280747,62607864,62610154,2
1690381949,2301512,2301522,64909376,64911676,2
1690381950,2285336,2299425,67194712,67211101,2
1690381951,1314908,1298519,68509620,68509620,2
1690381952,0,0,68509620,68509620,2
1690381953,0,0,68509620,68509620,2
1690381954,0,0,68509620,68509620,2
1690381955,0,0,68509620,68509620,0
1690381956,0,0,68509620,68509620,0
1690381957,0,0,68509620,68509620,0
1690381958,0,0,68509620,68509620,0
1690381959,0,0,68509620,68509620,0
1690381960,0,0,68509620,68509620,0
1690381961,0,0,68509620,68509620,0
1690381962,0,0,68509620,68509620,0
1690381963,0,0,68509620,68509620,0
1690381964,0,0,68509620,68509620,0
1690381965,0,0,68509620,68509620,0
1690381966,0,0,68509620,68509620,0
1690381967,0,0,68509620,68509620,0
1690381968,0,0,68509620,68509620,0
1690381969,0,0,68509620,68509620,0
1690381970,0,0,68509620,68509620,0
1690381971,0,0,68509620,68509620,0
1690381972,0,0,68509620,68509620,0
1690381973,0,0,68509620,68509620,0
1690381974,0,0,68509620,68509620,0
1690381975,0,0,68509620,68509620,0
1690381976,0,0,68509620,68509620,0
1690381977,0,0,68509620,68509620,0
1690381978,0,0,68509620,68509620,0
1690381979,0,0,68509620,68509620,0
1690381980,0,0,68509620,68509620,0
1690381981,0,0,68509620,68509620,0
1690381982,0,0,68509620,68509620,0
1690381983,0,0,68509620,68509620,0
1690381984,0,0,68509620,68509620,0
size: 1518B, rate: 95%, link: 25000 Mbps, mpps: 1930267, dur: 30 sec, total: 57908010, LossLimit: 579 (0.001%)
TS(sec),TX(pps),RX(pps),totalTX(p),totalRX(p),Trial
1690381985,0,0,0,0,0
1690381986,0,0,0,0,0
1690381987,1843442,1845652,1843442,1845652,0
1690381988,2027789,2034046,3871231,3879698,0
1690381989,2027788,2042471,5899019,5922169,0
1690381990,1980169,1958943,7879188,7881112,0
1690381991,1941456,1941469,9820644,9822581,0
1690381992,1930777,1942696,11751421,11765277,0
1690381993,1939043,1944698,13690464,13709975,0
1690381994,1944528,1944033,15634992,15654008,0
1690381995,1945001,1944394,17579993,17598402,0
1690381996,1944567,1945584,19524560,19543986,0
1690381997,1944546,1927054,21469106,21471040,0
1690381998,1944437,1944380,23413543,23415420,0
1690381999,1930777,1942834,25344320,25358254,0
1690382000,1930859,1925346,27275179,27283600,0
1690382001,1930943,1925472,29206122,29209072,0
1690382002,1947690,1964168,31153812,31173240,0
1690382003,1944812,1943588,33098624,33116828,0
1690382004,1944852,1946078,35043476,35062906,0
1690382005,1944708,1944651,36988184,37007557,0
1690382006,1944847,1927407,38933031,38934964,0
1690382007,1944426,1944426,40877457,40879390,0
1690382008,1930774,1942636,42808231,42822026,0
1690382009,1930859,1925548,44739090,44747574,0
1690382010,1930862,1924974,46669952,46672548,0
1690382011,1947546,1964284,48617498,48636832,0
1690382012,1944858,1927453,50562356,50564285,0
1690382013,1944705,1944706,52507061,52508991,0
1690382014,3861628,3868173,56368689,56377164,0
1690382015,1539321,1530846,57908010,57908010,0
1690382016,0,0,57908010,57908010,0
1690382017,0,0,57908010,57908010,0
1690382018,0,0,57908010,57908010,0
1690382019,0,0,57908010,57908010,0
1690382020,0,0,57908010,57908010,0
1690382021,0,0,0,0,1
1690382022,1615700,1636004,1615700,1636004,1
1690382023,2042334,2041606,3658034,3677610,1
1690382024,2042225,2043046,5700259,5720656,1
1690382025,2003375,2001055,7703634,7721711,1
1690382026,1944878,1946224,9648512,9667935,1
1690382027,1944493,1944451,11593005,11612386,1
1690382028,1944786,1927326,13537791,13539712,1
1690382029,1944897,1944917,15482688,15484629,1
1690382030,1930784,1942273,17413472,17426902,1
1690382031,1930852,1925282,19344324,19352184,1
1690382032,1930951,1945067,21275275,21297251,1
1690382033,1947253,1944673,23222528,23241924,1
1690382034,1944768,1927310,25167296,25169234,1
1690382035,1944826,1944821,27112122,27114055,1
1690382036,1930775,1942557,29042897,29056612,1
1690382037,1930862,1925144,30973759,30981756,1
1690382038,1930861,1944424,32904620,32926180,1
1690382039,1946601,1944569,34851221,34870749,1
1690382040,1945029,1927433,36796250,36798182,1
1690382041,1944718,1944721,38740968,38742903,1
1690382042,1930774,1943071,40671742,40685974,1
1690382043,1930863,1925426,42602605,42611400,1
1690382044,1930856,1925469,44533461,44536869,1
1690382045,1947913,1963927,46481374,46500796,1
1690382046,1944779,1942994,48426153,48443790,1
1690382047,1944917,1946697,50371070,50390487,1
1690382048,1944924,1944037,52315994,52334524,1
1690382049,1944800,1945693,54260794,54280217,1
1690382050,1944598,1943099,56205392,56223316,1
1690382051,1702618,1684694,57908010,57908010,1
1690382052,0,0,57908010,57908010,1
1690382053,0,0,57908010,57908010,1
1690382054,0,0,57908010,57908010,1
1690382055,0,0,57908010,57908010,1
1690382056,0,0,57908010,57908010,1
1690382057,0,0,0,0,2
1690382058,1414452,1428940,1414452,1428940,2
1690382059,2027793,2015420,3442245,3444360,2
1690382060,2027784,2048399,5470029,5492759,2
1690382061,2000607,1979899,7470636,7472658,2
1690382062,1930772,1939382,9401408,9412040,2
1690382063,1930867,1944679,11332275,11356719,2
1690382064,1930942,1908432,13263217,13265151,2
1690382065,1930767,1942170,15193984,15207321,2
1690382066,1930868,1919635,17124852,17126956,2
1690382067,1930859,1950556,19055711,19077512,2
1690382068,1930876,1911088,20986587,20988600,2
1690382069,1930918,1939261,22917505,22927861,2
1690382070,1935784,1927362,24853289,24855223,2
1690382071,1930775,1942789,26784064,26798012,2
1690382072,1939194,1944756,28723258,28742768,2
1690382073,1944754,1944759,30668012,30687527,2
1690382074,1944687,1944559,32612699,32632086,2
1690382075,1944669,1927217,34557368,34559303,2
1690382076,1944606,1944607,36501974,36503910,2
1690382077,1930774,1942648,38432748,38446558,2
1690382078,1930860,1925170,40363608,40371728,2
1690382079,1930856,1925178,42294464,42296906,2
1690382080,1947376,1946950,44241840,44243856,2
1690382081,1930768,1942845,46172608,46186701,2
1690382082,1930860,1925235,48103468,48111936,2
1690382083,1930859,1925045,50034327,50036981,2
1690382084,1947394,1964166,51981721,52001147,2
1690382085,1944952,1927545,53926673,53928692,2
1690382086,1944559,1944554,55871232,55873246,2
1690382087,1930765,1942760,57801997,57816006,2
1690382088,106013,92004,57908010,57908010,2
1690382089,0,0,57908010,57908010,2
1690382090,0,0,57908010,57908010,2
1690382091,0,0,57908010,57908010,2
1690382092,0,0,57908010,57908010,2
1690382093,0,0,57908010,57908010,0
1690382094,0,0,57908010,57908010,0
1690382095,0,0,57908010,57908010,0
1690382096,0,0,57908010,57908010,0
1690382097,0,0,57908010,57908010,0
1690382098,0,0,57908010,57908010,0
1690382099,0,0,57908010,57908010,0
1690382100,0,0,57908010,57908010,0
1690382101,0,0,57908010,57908010,0
1690382102,0,0,57908010,57908010,0
1690382103,0,0,57908010,57908010,0
1690382104,0,0,57908010,57908010,0
1690382105,0,0,57908010,57908010,0
1690382106,0,0,57908010,57908010,0
1690382107,0,0,57908010,57908010,0
1690382108,0,0,57908010,57908010,0
1690382109,0,0,57908010,57908010,0
1690382110,0,0,57908010,57908010,0
1690382111,0,0,57908010,57908010,0
1690382112,0,0,57908010,57908010,0
1690382113,0,0,57908010,57908010,0
1690382114,0,0,57908010,57908010,0
1690382115,0,0,57908010,57908010,0
1690382116,0,0,57908010,57908010,0
1690382117,0,0,57908010,57908010,0
1690382118,0,0,57908010,57908010,0
1690382119,0,0,57908010,57908010,0
1690382120,0,0,57908010,57908010,0
1690382121,0,0,57908010,57908010,0
1690382122,0,0,57908010,57908010,0
